# B/T_low  B/T_high  9<logM<9.5  9.5<logM<10  10<logM<10.5  10.5<logM<11  logM>11
0.000000000000000000e+00 2.000000000000000042e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 4.000000000000000083e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000083e-02 5.999999999999999778e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.999999999999999778e-02 8.000000000000000167e-02 1.108137835929932924e-02 7.195107327017628840e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000167e-02 1.000000000000000056e-01 5.951110600364454412e-02 3.417675980333373942e-01 8.620689655172414367e-02 0.000000000000000000e+00 9.293680297397770296e-02
1.000000000000000056e-01 1.199999999999999956e-01 1.887938535288033737e-01 7.824679218131671554e-01 5.172413793103448620e-01 1.014198782961460571e-01 9.293680297397770296e-02
1.199999999999999956e-01 1.400000000000000133e-01 3.800502355818954903e-01 1.349082623815805571e+00 5.172413793103448620e-01 4.056795131845842284e-01 9.293680297397770296e-02
1.400000000000000133e-01 1.600000000000000033e-01 6.476450018879384984e-01 1.747811488188032447e+00 1.163793103448275801e+00 4.056795131845842284e-01 3.717472118959108118e-01
1.600000000000000033e-01 1.799999999999999933e-01 9.423275819611577342e-01 2.122556661470200723e+00 9.051724137931034253e-01 9.127789046653144167e-01 3.717472118959108118e-01
1.799999999999999933e-01 2.000000000000000111e-01 1.321967396122338378e+00 2.287444537714354631e+00 1.379310344827586299e+00 5.070993914807302438e-01 6.505576208178438513e-01
2.000000000000000111e-01 2.200000000000000011e-01 1.557549291612627895e+00 2.497301834752368777e+00 1.508620689655172376e+00 1.419878296146044772e+00 1.115241635687732380e+00
2.200000000000000011e-01 2.399999999999999911e-01 1.688884146241360629e+00 2.476316105048567362e+00 1.077586206896551824e+00 1.724137931034482873e+00 8.364312267657992850e-01
2.399999999999999911e-01 2.600000000000000089e-01 1.807906358248649648e+00 2.194507734740376748e+00 1.594827586206896575e+00 1.115618661257606448e+00 1.208178438661710041e+00
2.600000000000000089e-01 2.800000000000000266e-01 1.922413934628076193e+00 2.110564815925171089e+00 1.465517241379310498e+00 7.099391480730223858e-01 1.022304832713754719e+00
2.800000000000000266e-01 2.999999999999999889e-01 1.896557385123044392e+00 1.996642283247392013e+00 1.594827586206896575e+00 5.070993914807302438e-01 6.505576208178438513e-01
2.999999999999999889e-01 3.200000000000000067e-01 1.982745883473150172e+00 1.750809449574289856e+00 1.293103448275862100e+00 1.217038539553752630e+00 1.394052044609665364e+00
3.200000000000000067e-01 3.400000000000000244e-01 1.895736542281614812e+00 1.756805372346804450e+00 1.594827586206896575e+00 8.113590263691684568e-01 4.646840148698884732e-01
3.400000000000000244e-01 3.599999999999999867e-01 1.875625892666590078e+00 1.651876723827797377e+00 1.293103448275862100e+00 7.099391480730223858e-01 9.293680297397769463e-01
3.599999999999999867e-01 3.800000000000000044e-01 1.894094856598755650e+00 1.516968461446216887e+00 1.206896551724137900e+00 7.099391480730223858e-01 1.208178438661710041e+00
3.800000000000000044e-01 4.000000000000000222e-01 1.821450265132237734e+00 1.433025542631011229e+00 1.465517241379310498e+00 5.070993914807302438e-01 1.486988847583643247e+00
4.000000000000000222e-01 4.199999999999999845e-01 1.778356015957184955e+00 1.451013310948555235e+00 1.422413793103448398e+00 1.014198782961460488e+00 8.364312267657992850e-01
4.199999999999999845e-01 4.400000000000000022e-01 1.693809203289938115e+00 1.436023504017268415e+00 1.293103448275862100e+00 1.419878296146044772e+00 2.509293680297397966e+00
4.400000000000000022e-01 4.600000000000000200e-01 1.708994795856385362e+00 1.298117280249430516e+00 1.637931034482758674e+00 1.318458417849898590e+00 7.434944237918216237e-01
