NGC 224 Sb 3.0 0.70 0.19 5.9 0.17 0.70 77 234 73 2230 2290 11.06
NGC 247 Sd 6.9 3.8 0.00 4.1 -999. -999. 76 92 -999. 770 790 9.84
NGC 300 Sd 6.9 1.8 0.00 1.6 -999. -999. 47 60 -999. 190 260 9.23
NGC 701 Sc 5.0 24.3 0.00 1.9 -999. -999. 61 127 -999. 480 550 10.46
NGC 753 Sbc 4.9 65.8 0.04 4.8 0.02 0.86 50 161 31 1480 1930 11.31
NGC 801 Sc 5.3 77.3 0.21 13.1 1.1 0.75 86 205 56 4270 4280 11.50
NGC 1024 Sab 2.4 46.8 0.34 6.2 0.09 0.56 68 252 101 2070 2230 11.34
NGC 1035 Sc 5.0 16.4 0.00 1.3 -999. -999. 71 126 -999. 340 360 10.13
NGC 1085 Sbc 3.6 89.9 0.22 6.0 0.2 0.90 39 194 68 1810 2900 11.42
NGC 1087 Sc 5.2 20.1 0.00 3.0 -999. -999. 50 103 -999. 630 820 10.62
NGC 1325 Sbc 4.0 20.9 0.03 4.2 0.3 0.82 70 169 56 1360 1450 10.61
NGC 1353 Sb 3.3 20.0 0.15 2.8 1.0 0.74 65 205 34 990 1090 10.74
NGC 1357 Sab 1.9 26.4 0.34 4.7 2.3 0.85 45 184 34 1210 1720 11.03
NGC 1417 Sb 3.3 54.7 0.07 6.4 0.2 1.0 50 218 0 2580 3370 11.31
NGC 1421 Sbc 4.1 27.7 0.05 6.0 4.0 0.73 78 192 79 2230 2280 10.93
NGC 1620 Sbc 4.5 47.2 0.07 7.6 0.7 0.85 69 224 34 3150 3380 11.32
NGC 2403 Scd 6.0 3.2 0.00 2.0 -999. -999. 69 116 -999. 470 500 10.01
NGC 2590 Sbc 3.6 71.8 0.25 5.9 0.5 0.54 75 246 110 2220 2300 11.34
NGC 2608 Sb 3.3 33.1 0.07 2.9 0.4 0.86 50 107 37 580 760 10.67
NGC 2639 Sa 0.9 49.7 0.61 2.8 4.8 0.79 65 294 69 1110 1300 11.33
NGC 2708 Sb 3.1 30.2 0.08 3.4 0.3 1.0 61 201 0 1250 1430 10.81
NGC 2715 Sc 5.2 23.2 0.01 5.6 0.03 0.87 70 136 37 1520 1620 10.83
NGC 2742 Sc 5.3 22.6 0.01 3.5 0.14 0.89 58 148 15 1030 1210 10.65
NGC 2775 Sab 1.7 21.5 0.20 4.5 0.4 0.89 44 195 41 1400 2020 11.31
NGC 2815 Sb 2.9 36.5 0.32 5.7 1.1 0.80 72 262 67 2070 2190 11.23
NGC 2841 Sb 3.0 12.2 0.36 3.1 0.12 0.71 65 263 87 1070 1180 11.10
NGC 2844 Sa 0.6 25.4 0.19 1.8 0.13 0.90 74 154 24 460 480 10.32
NGC 2903 Sbc 4.0 7.4 0.00 2.4 -999. -999. 65 185 -999. 900 1000 10.74
NGC 2998 Sc 5.2 70.1 0.02 5.8 0.05 0.81 62 185 29 2100 2380 11.13
NGC 3031 Sab 2.4 3.6 0.15 2.7 0.05 0.82 59 197 50 920 1070 10.95
NGC 3054 Sb 3.5 34.4 0.04 4.7 0.2 0.90 50 188 31 1680 2190 11.12
NGC 3067 Sab 2.1 25.7 0.03 2.1 0.2 0.62 68 134 41 550 600 10.61
NGC 3109 Sm 9.1 1.3 0.00 1.3 -999. -999. 82 47 -999. 120 120 8.62
NGC 3198 Sc 5.2 12.2 0.00 3.4 -999. -999. 71 147 -999. 990 1040 10.49
NGC 3200 Sc 4.5 52.2 0.11 9.1 0.2 0.87 72 262 45 4250 4470 11.37
NGC 3495 Sd 6.3 17.8 0.02 3.9 0.30 0.63 78 172 89 1320 1350 10.39
NGC 3593 S0/a -0.4 5.5 0.07 0.9 0.03 0.59 67 99 30 160 180 9.86
NGC 3898 Sab 1.7 22.7 0.66 3.7 2.1 0.62 67 230 107 930 1070 11.07
NGC 4062 Sc 5.3 10.8 0.03 2.0 0.50 0.96 64 139 13 550 610 10.22
NGC 4236 Sdm 8.0 4.4 0.00 3.7 -999. -999. 72 79 -999. 580 610 9.43
NGC 4258 Sbc 4.0 7.3 0.00 6.0 -999. -999. 69 186 -999. 2240 2410 11.08
NGC 4378 Sa 1.0 41.1 0.52 6.0 2.8 1.0 35 185 0 1060 1850 11.42
NGC 4419 Sa 1.1 12.5 0.10 1.2 0.07 0.92 71 180 19 370 400 10.43
NGC 4448 Sab 1.8 7.0 0.22 1.0 0.03 0.90 69 182 38 300 320 10.03
NGC 4594 Sa 1.1 12.7 0.86 3.1 8.4 0.70 84 348 104 2030 2380 11.56
NGC 4605 Sc 5.1 4.5 0.01 0.8 -999. -999. 68 79 -999. 130 140 9.58
NGC 4682 Scd 5.9 34.7 0.02 4.4 0.04 0.77 57 143 40 1220 1460 10.73
NGC 4698 Sab 1.4 13.7 0.55 3.6 1.6 0.96 70 233 18 790 850 10.96
NGC 4736 Sab 2.4 4.8 0.35 1.5 0.14 0.90 30 89 23 180 360 10.76
NGC 4800 Sb 3.0 18.4 0.09 1.1 0.01 1.0 53 136 0 260 330 10.54
NGC 4845 Sab 2.3 24.9 0.07 5.2 0.3 0.80 72 171 25 1650 1740 11.10
NGC 5033 Sc 5.1 17.2 0.10 6.9 0.10 0.70 69 195 57 2440 2620 11.31
NGC 5055 Sbc 4.0 8.7 0.05 4.0 0.2 0.86 54 169 27 1280 1590 11.11
NGC 6314 Sa 1.1 98.2 0.56 6.2 2.4 0.70 70 215 83 1430 1560 11.50
NGC 7171 Sb 3.1 39.3 0.04 4.0 0.04 0.72 52 169 35 1300 1650 10.84
NGC 7217 Sab 2.5 16.4 0.25 2.5 2.9 0.93 35 149 23 590 1030 11.07
NGC 7331 Sb 3.9 14.4 0.26 4.8 0.2 0.40 67 202 111 1450 1580 11.34
NGC 7537 Sbc 3.6 37.3 0.18 2.5 0.2 0.70 79 137 34 570 580 10.47
NGC 7541 Sbc 4.7 37.5 0.01 4.7 0.3 0.62 72 219 34 2050 2150 11.23
NGC 7606 Sb 3.0 31.3 0.08 5.8 1.22 0.60 66 238 79 2540 2780 11.34
NGC 7664 Sc 5.0 47.9 0.03 2.3 0.2 0.80 58 157 36 710 830 10.86
IC 467 Sc 5.2 32.1 0.00 3.7 -999. -999. 67 129 -999. 960 1040 10.44
IC 724 Sa 1.0 89.5 0.41 8.2 1.0 0.78 55 233 86 2360 2890 11.51
UGC 2259 Sdm 7.8 9.8 0.00 1.1 -999. -999. 22 31 -999. 70 190 9.14
UGC 2885 Sc 5.2 78.0 0.14 15.1 10.4 0.88 65 281 76 7560 8380 11.74
UGC 11810 Sbc 3.7 66.4 0.05 5.8 0.4 0.76 74 183 22 2010 2090 10.82
UGC 12810 Sbc 3.8 109.6 0.07 8.0 0.7 0.83 70 211 67 3140 3350 11.26
